Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
Allegheny Center,1,798,91,781,89,23,27,6,8,77,49,10,10,15,21,2,16,0,10,0,10,6,8,17,20,72,33,41,26,98,53,34,25,35,24,52,26,132,51,129,51,16,24,16,14,0,10,0,10,0,10,0,10,17,12
Allegheny West,2,77,31,77,31,0,10,0,10,0,10,0,10,0,10,3,7,0,10,0,10,10,11,6,9,8,9,8,9,7,9,0,10,5,8,4,6,5,8,10,11,6,10,5,7,0,10,0,10,0,10,0,10,0,10
Allentown,3,531.0,138.166566144,481.0,120.540449642,0.0,17.3205080757,0.0,17.3205080757,18.0,24.4948974278,16.0,22.1133443875,16.0,22.1133443875,57.0,66.5206734782,63.0,35.6370593624,47.0,37.1752605908,23.0,40.5462698654,51.0,54.6443043692,32.0,36.9864840178,49.0,56.648036153,30.0,32.0156211872,41.0,34.7706773014,0.0,17.3205080757,9.0,19.8997487421,0.0,17.3205080757,29.0,36.823905279,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,50.0,78.2879301042
Arlington,4,209.0,70.5620294492,204.0,69.8999284692,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,4.0,15.779733838,0.0,17.3205080757,10.0,21.354156504,4.0,15.3622914957,6.0,16.7630546143,21.0,25.1594912508,52.0,41.4849370254,13.0,15.779733838,15.0,27.0,61.0,46.3141447076,0.0,17.3205080757,13.0,22.1133443875,0.0,17.3205080757,5.0,16.7630546143,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,5.0,15.779733838
Arlington Heights,5,144,59,140,59,0,10,6,8,23,25,12,14,42,44,0,10,15,23,0,10,5,7,9,14,0,10,0,10,28,49,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6
Banksville,6,961.0,190.089452627,961.0,190.089452627,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,42.0,69.2026011072,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,70.0,70.363342729,96.0,64.5445582524,181.0,119.933314805,143.0,94.4139820154,251.0,128.058580345,146.0,111.968745639,32.0,41.7612260356,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bedford Dwellings,7,675,56,668,57,216,72,20,19,37,22,94,44,3,5,8,12,22,17,30,25,73,49,29,19,59,29,13,13,24,25,12,11,24,25,4,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,10
Beechview,8,1502.0,236.021185489,1464.0,234.068366082,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,64.0,57.8359749638,19.0,35.0,56.0,68.1542368455,79.0,54.0740233384,164.0,106.981306779,76.0,62.0564259364,156.0,80.0374912151,170.0,91.6896940774,237.0,102.625532885,175.0,91.0549284773,59.0,44.2153819389,47.0,46.0108682813,76.0,68.0441033449,76.0,54.4150714417,10.0,34.481879299,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,38.0,39.3700393701
Beltzhoover,9,292.0,111.772089539,287.0,111.772089539,0.0,20.0,10.0,22.9128784748,0.0,20.0,24.0,23.1732604525,0.0,20.0,9.0,22.9128784748,9.0,22.9128784748,0.0,20.0,72.0,51.4781507049,54.0,57.706152185,36.0,53.860932038,32.0,39.0128184062,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,41.0,67.2681202354,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,5.0,19.519221296
Bloomfield,10,2883.0,201.732496144,2825.0,200.80836636,0.0,31.6227766016,6.0,31.3209195267,7.0,31.9530906173,24.0,39.9124040869,28.0,39.0,41.0,38.6910842443,85.0,53.9258750509,109.0,59.5566956773,85.0,55.7584074379,153.0,58.2580466545,197.0,71.232015274,354.0,96.8710483064,292.0,77.8845299146,236.0,76.47875522,218.0,84.3445315359,354.0,93.3059483635,146.0,62.60990337,278.0,87.1263450399,69.0,47.5078940808,126.0,61.5710971154,17.0,33.5410196625,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,58.0,36.3180395947
Bluff,11,161.0,46.2601340249,161.0,46.2601340249,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,4.0,18.6815416923,22.0,24.9799919936,27.0,26.1151297144,0.0,20.0,5.0,19.0787840283,0.0,20.0,0.0,20.0,5.0,19.0787840283,5.0,20.0,0.0,20.0,31.0,26.83281573,2.0,17.5783958313,11.0,20.0,37.0,26.7207784318,12.0,23.579652245,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bon Air,12,67,64,67,64,14,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,36,55,0,10,0,10,0,10,0,10,0,10,5,8,0,10,12,20,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Brighton Heights,13,1016.0,167.364870866,1006.0,167.364870866,0.0,26.4575131106,10.0,28.7228132327,22.0,29.8998327754,42.0,34.9428104192,39.0,33.0756708171,62.0,39.9499687108,0.0,26.4575131106,87.0,53.9166022667,53.0,36.2491379208,188.0,99.2270124513,94.0,53.8423625039,115.0,69.6347614343,61.0,46.5403051128,55.0,54.083269132,48.0,52.4404424086,9.0,29.2574776765,18.0,29.8161030318,71.0,47.3392015141,25.0,32.2645316098,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,7.0,26.8514431641,0.0,26.4575131106,10.0,28.7228132327
Brookline,14,1598.0,233.272372989,1502.0,227.149730353,0.0,38.729833462,0.0,38.729833462,22.0,45.7493169348,49.0,46.9254728264,11.0,41.097445176,51.0,46.733285782,57.0,59.9416382826,42.0,53.2353266167,86.0,60.1747455333,117.0,77.3175271203,108.0,64.7302093307,114.0,64.2261628934,347.0,154.977417709,124.0,78.8923316932,53.0,56.648036153,194.0,88.4759854423,66.0,65.138314378,49.0,53.7587202229,0.0,38.729833462,12.0,43.4050688283,0.0,38.729833462,0.0,38.729833462,0.0,38.729833462,0.0,38.729833462,96.0,65.7799361507
California-Kirkbride,15,219,45,213,45,10,11,5,7,15,16,17,14,0,10,7,8,31,27,0,10,19,27,38,30,5,7,18,28,18,18,13,13,0,10,3,5,0,10,14,21,0,10,0,10,0,10,0,10,0,10,0,10,6,7
Carrick,16,1677.0,237.720424028,1613.0,234.369366599,24.0,39.0512483796,9.0,37.3630833846,27.0,41.4366987103,75.0,69.2387174925,5.0,35.5527776693,54.0,46.4758001545,82.0,63.007936008,89.0,62.9444199275,116.0,79.7809501072,188.0,80.1124210095,287.0,117.783700061,202.0,80.4487414445,99.0,67.8601503094,185.0,93.6749699759,36.0,41.4487635521,48.0,57.5934023999,67.0,72.2910782876,20.0,37.6430604494,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,64.0,51.2932744128
Central Business District,17,1571.0,209.454052241,1571.0,209.454052241,34.0,41.5331193147,0.0,24.4948974278,31.0,34.2490875791,47.0,41.5331193147,19.0,30.6757233004,14.0,31.3687742828,18.0,36.6196668472,0.0,24.4948974278,0.0,24.4948974278,24.0,32.3728281125,22.0,33.5410196625,17.0,33.5410196625,12.0,29.3428015023,0.0,24.4948974278,124.0,74.9733285909,74.0,63.7573525172,34.0,36.4554522672,273.0,83.2706430863,227.0,104.383906806,319.0,109.936345218,258.0,133.41289293,24.0,34.0734500748,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Central Lawrenceville,18,1323.0,154.670617766,1272.0,150.768033748,10.0,24.9198715887,0.0,24.4948974278,37.0,30.3315017762,0.0,24.4948974278,26.0,27.1108834235,30.0,28.6705423737,62.0,50.2195181179,36.0,30.5450486986,29.0,40.6939798987,100.0,54.7813836991,121.0,76.2692598628,122.0,62.6578007912,102.0,64.459289478,64.0,49.1731634125,46.0,33.1963853454,161.0,56.3116329012,109.0,61.3514466007,146.0,59.5399025863,19.0,27.1661554144,38.0,50.2493781056,14.0,25.3771550809,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,51.0,48.7134478352
Central Northside,19,938.0,109.708705215,900.0,107.443008148,5.0,16.2480768092,34.0,31.064449134,18.0,18.7082869339,56.0,37.7491721764,20.0,18.7082869339,38.0,37.4165738677,18.0,22.1133443875,68.0,37.2692903072,52.0,35.3411940942,83.0,46.7439835701,35.0,27.5136329844,99.0,46.270941205,46.0,30.7408522979,76.0,42.4499705536,67.0,41.5331193146,56.0,33.7194306002,22.0,19.0,78.0,47.3919824443,21.0,19.8997487421,4.0,15.0,4.0,15.3622914957,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,38.0,34.0587727319
Central Oakland,20,1710.0,166.655332948,1667.0,163.38298565,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,22.0,28.7228132327,43.0,39.3064880141,90.0,58.6344608571,51.0,32.939338184,97.0,56.4358042381,79.0,41.4969878425,142.0,66.6108099335,39.0,31.5277655409,46.0,35.902646142,72.0,46.2276973253,101.0,55.7584074378,100.0,51.4392845985,293.0,94.0425435641,88.0,45.519226707,257.0,101.656283623,126.0,68.483574673,0.0,17.3205080757,0.0,17.3205080757,21.0,37.7491721764,43.0,35.0713558335
Chartiers City,21,85,42,62,37,0,10,0,10,10,15,0,10,0,10,0,10,0,10,0,10,16,26,0,10,13,19,0,10,12,20,0,10,0,10,0,10,0,10,11,16,0,10,0,10,0,10,0,10,0,10,0,10,23,35
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,643.0,116.657618697,633.0,118.02542099,66.0,46.7867502612,56.0,50.0899191454,16.0,26.4575131106,30.0,28.7923600978,44.0,36.3868107973,7.0,20.0,13.0,27.2213151776,98.0,55.3172667438,28.0,31.7804971642,6.0,19.519221296,18.0,19.9248588452,53.0,34.4818792991,47.0,36.5102725271,46.0,42.1426150114,29.0,35.721142199,44.0,31.192947921,22.0,31.2409987036,10.0,19.519221296,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,10.0,17.6918060129
Crawford-Roberts,24,899.0,141.449637681,899.0,141.449637681,44.0,42.1900462195,60.0,44.2718872424,26.0,23.3238075794,19.0,20.8086520467,61.0,49.244289009,82.0,59.5482997238,22.0,19.7230829233,0.0,14.1421356237,48.0,48.0520551069,82.0,63.1268564083,50.0,34.4383507154,101.0,74.3303437366,48.0,47.853944456,55.0,60.6712452485,17.0,21.4709105536,14.0,18.8679622641,46.0,44.5533388199,88.0,62.2012861603,15.0,24.1660919472,12.0,21.4709105536,9.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Duquesne Heights,25,333.0,84.958813551,308.0,85.7029754443,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,16.4012194669,10.0,19.7230829233,19.0,24.1660919472,0.0,14.1421356237,0.0,14.1421356237,10.0,19.7230829233,26.0,24.6981780705,26.0,40.2616442784,0.0,14.1421356237,49.0,40.718546143,0.0,14.1421356237,55.0,47.1274866718,10.0,19.7230829233,28.0,26.4007575649,18.0,22.360679775,13.0,18.0277563773,35.0,27.8567765544,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,25.0,23.7065391823
East Allegheny,26,867.0,152.029602381,849.0,150.615404259,11.0,18.8679622641,28.0,24.8394846967,0.0,14.1421356237,97.0,72.1803297305,20.0,24.1660919472,25.0,23.2594066992,37.0,28.3019433962,141.0,69.6419413859,114.0,91.2633551871,78.0,51.4781507049,39.0,26.9258240357,35.0,29.0,31.0,25.2388589282,108.0,82.0060973343,8.0,16.4012194669,7.0,14.8660687473,9.0,18.0277563773,40.0,26.1725046566,8.0,16.4012194669,0.0,14.1421356237,13.0,21.4709105536,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,18.0,19.1049731745
East Carnegie,27,122,44,111,41,6,8,6,8,0,10,0,10,0,10,0,10,26,35,10,11,9,10,10,12,19,25,10,11,12,13,0,10,0,10,0,10,3,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,17
East Hills,28,764.0,142.098557347,632.0,130.464554573,109.0,71.6379787543,12.0,21.354156504,71.0,56.2583327161,58.0,50.9901951359,8.0,18.547236991,47.0,39.5221456908,36.0,47.1699056603,23.0,24.3515913238,25.0,43.3704968844,24.0,29.5972971739,90.0,62.20932406,60.0,59.8748695197,33.0,40.8044115262,19.0,28.7228132327,0.0,17.3205080757,17.0,27.8567765544,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,132.0,82.0060973343
East Liberty,29,2475.0,240.468293128,2462.0,241.174210893,41.0,40.5215991787,41.0,45.5741154604,102.0,58.6600375043,68.0,65.4675492135,62.0,46.076024134,65.0,67.1863081289,43.0,55.6866231693,26.0,32.8785644455,219.0,95.9687449121,221.0,101.808644034,401.0,130.107647738,204.0,92.6876475049,127.0,71.3232080042,194.0,75.8683069535,173.0,101.074230149,201.0,76.1905505951,104.0,62.1771662269,67.0,41.7731971485,103.0,60.1331855135,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,13.0,27.946377225
Elliott,30,390.0,112.160599143,352.0,111.413643689,0.0,17.3205080757,9.0,21.3541565041,17.0,24.4948974278,8.0,19.2093727123,0.0,17.3205080757,7.0,17.9164728672,6.0,17.9164728672,11.0,21.3541565041,75.0,61.2617335699,49.0,41.1582312545,0.0,17.3205080757,63.0,41.4487635522,48.0,56.6480361531,15.0,26.1533936613,0.0,17.3205080757,44.0,43.8748219369,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,38.0,33.1662479036
Esplen,31,42,37,42,37,0,10,0,10,0,10,0,10,0,10,5,10,0,10,0,10,0,10,9,10,22,32,6,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fairywood,32,330,74,330,74,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,14,24,39,0,10,8,13,4,7,4,6,7,12,45,44,46,34,124,65,43,38,16,18,0,10,0,10,0,10,0,10,0,10,0,10
Fineview,33,387.0,95.7757798193,384.0,95.7757798193,41.0,34.4818792991,21.0,26.9258240357,10.0,14.8660687473,88.0,43.1740662898,0.0,14.1421356237,28.0,36.4005494464,14.0,25.079872408,7.0,14.1421356237,33.0,46.0977222865,80.0,61.8546683768,9.0,14.1421356237,9.0,16.4012194669,0.0,14.1421356237,32.0,46.0977222865,12.0,22.360679775,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,3.0,11.1803398875
Friendship,34,995.0,126.8227109,995.0,126.8227109,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,11.0,20.591260282,0.0,14.1421356237,10.0,18.0277563773,31.0,27.7848879789,11.0,19.7230829233,13.0,21.4709105536,102.0,56.0802995712,159.0,70.1783442381,121.0,66.2872536767,40.0,28.0178514522,105.0,70.7106781187,102.0,64.0312423743,75.0,53.9351462406,122.0,63.3482438588,67.0,47.0744091838,0.0,14.1421356237,17.0,35.4400902933,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Garfield,35,943.0,108.365123541,857.0,110.317722964,48.0,38.3927076409,12.0,27.5862284483,56.0,32.9241552663,22.0,29.0,34.0,26.5518360947,19.0,30.1993377411,21.0,21.2367605816,73.0,42.9651021179,56.0,35.2987251894,53.0,32.2800247831,72.0,43.3589667774,50.0,36.755951899,142.0,61.1310068623,44.0,33.8526217596,68.0,44.4634681508,62.0,38.6652298584,7.0,22.360679775,15.0,19.6723155729,0.0,22.360679775,1.0,20.8806130178,2.0,20.3960780543,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,86.0,50.3587132481
Glen Hazel,36,241,80,241,80,11,16,13,19,57,61,10,16,16,18,21,28,30,48,24,25,22,30,12,21,0,10,20,33,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Greenfield,37,1442.0,251.6366428,1369.0,246.564393213,0.0,29.9999999999,0.0,29.9999999999,10.0,32.4961536185,0.0,29.9999999999,10.0,32.0156211872,20.0,34.813790371,20.0,35.8329457345,42.0,42.8719022204,78.0,86.0755482121,58.0,49.7091540866,125.0,109.077953776,75.0,59.3801313572,93.0,87.2410453858,57.0,54.4334456011,105.0,91.2743118298,273.0,143.415480336,73.0,67.1416413264,188.0,94.4139820155,95.0,81.2896057316,47.0,50.3686410379,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,73.0,56.709787515
Hays,38,92,40,74,37,0,10,0,10,0,10,2,3,0,10,22,26,3,6,0,10,0,10,25,30,11,15,0,10,3,6,0,10,0,10,8,13,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,18,21
Hazelwood,39,854.0,173.634673957,812.0,171.612936575,36.0,55.2177507691,44.0,56.1248608016,9.0,28.7228132327,66.0,65.3146231712,61.0,58.5234995536,25.0,29.5465734055,95.0,82.2982381342,143.0,91.8422560698,90.0,69.2603782837,53.0,49.244289009,30.0,30.5122926049,42.0,44.9110231458,70.0,51.7590571785,5.0,25.7681974534,0.0,26.4575131106,35.0,37.0540146273,4.0,26.0959767013,0.0,26.4575131106,4.0,25.2190404258,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,42.0,33.1813200461
Highland Park,40,1489.0,219.431082575,1440.0,216.09025892,0.0,28.2842712474,0.0,28.2842712474,11.0,32.0000000001,0.0,28.2842712474,0.0,28.2842712474,13.0,32.5729949498,12.0,31.448370387,52.0,55.2268050859,76.0,54.9454274713,44.0,49.7694685525,202.0,111.633328357,110.0,68.0955211449,149.0,91.0604195028,133.0,91.9075622568,84.0,57.6628129734,106.0,66.257075094,140.0,91.2743118299,176.0,108.286656612,116.0,99.1665266107,16.0,37.8021163429,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,49.0,37.6297754444
Homewood North,41,670.0,124.008064254,645.0,122.270192606,85.0,47.4447046571,46.0,44.3395985548,36.0,33.8378486314,49.0,46.9893604979,101.0,62.9682459657,14.0,22.0227155455,20.0,29.7657521323,20.0,29.4108823397,21.0,24.0,50.0,43.5889894354,32.0,40.3112887415,38.0,44.72135955,17.0,26.2488094968,26.0,23.4520787991,28.0,31.921779399,56.0,51.5945733581,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,6.0,21.9317121994,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,25.0,32.9241552663
Homewood South,42,686.0,104.465305245,646.0,102.552425617,21.0,31.7804971641,74.0,37.9341534768,89.0,49.4368283773,101.0,46.1735855225,48.0,40.3112887414,28.0,24.899799196,52.0,38.4967531098,33.0,25.9036676939,58.0,38.170669368,33.0,31.2889756943,17.0,31.8119474412,64.0,46.432747065,6.0,23.7486841741,12.0,24.1867732449,0.0,24.4948974278,5.0,23.748684174,0.0,24.4948974278,0.0,24.4948974278,5.0,24.1039415864,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,40.0,34.4383507155
Homewood West,43,206.0,69.5269731831,195.0,68.1175454637,0.0,14.1421356237,18.0,16.6433169771,17.0,16.4012194669,20.0,16.1245154966,13.0,14.8660687473,5.0,12.2065556157,40.0,45.4532727095,34.0,32.9848450049,18.0,27.2029410175,3.0,11.1803398875,21.0,25.079872408,0.0,14.1421356237,3.0,11.6619037897,3.0,11.6619037897,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,11.0,12.0415945788
